recid,career span,,,,,,
1375686,0,,,,,,
1375696,0,,,,,,
982591,0,,,,,,
1375862,0,,,,,,
1597839,0,,,,,,
1376236,0,,,,,,
983029,0,,,,,,
983052,0,,,,,,
983058,0,,,,,,
1507514,0,,,,,,
983268,0,,,,,,
1452756,0,,,,,,
1507634,0,,,,,,
1507723,0,,,,,,
1507741,0,,,,,,
1081413,0,,,,,,
1507744,0,,,,,,
1507751,0,,,,,,
983516,0,,,,,,
1638935,0,,,,,,
983632,0,,,,,,
1507942,0,,,,,,
1507952,0,,,,,,
1639138,0,,,,,,
1639143,0,,,,,,
1639144,0,,,,,,
1639145,0,,,,,,
1639146,0,,,,,,
1639147,0,,,,,,
1639149,0,,,,,,
1639153,0,,,,,,
1639154,0,,,,,,
1639164,0,,,,,,
1508097,0,,,,,,
1639171,0,,,,,,
1639175,0,,,,,,
1377128,0,,,,,,
1377129,0,,,,,,
1639329,0,,,,,,
1639379,0,,,,,,
1377303,0,,,,,,
984259,0,,,,,,
1246422,0,,,,,,
1246435,0,,,,,,
1246501,0,,,,,,
1246563,0,,,,,,
1246565,0,,,,,,
1377699,0,,,,,,
1508965,0,,,,,,
1508973,0,,,,,,
1508981,0,,,,,,
1508982,0,,,,,,
984734,0,,,,,,
1640206,0,,,,,,
1509306,0,,,,,,
985242,0,,,,,,
985365,0,,,,,,
1640877,0,,,,,,
1640880,0,,,,,,
1640884,0,,,,,,
1640885,0,,,,,,
1509853,0,,,,,,
1509858,0,,,,,,
1640932,0,,,,,,
1509864,0,,,,,,
1641007,0,,,,,,
1641010,0,,,,,,
1641011,0,,,,,,
1641020,0,,,,,,
1641131,0,,,,,,
1641193,0,,,,,,
1641194,0,,,,,,
1641199,0,,,,,,
1641203,0,,,,,,
1641213,0,,,,,,
1510373,0,,,,,,
986113,0,,,,,,
1510631,0,,,,,,
1641818,0,,,,,,
986471,0,,,,,,
1510831,0,,,,,,
1510834,0,,,,,,
986598,0,,,,,,
1642029,0,,,,,,
1511064,0,,,,,,
1511068,0,,,,,,
1511073,0,,,,,,
1511080,0,,,,,,
1511187,0,,,,,,
1511218,0,,,,,,
1511224,0,,,,,,
1511225,0,,,,,,
1606291,0,,,,,,
1642565,0,,,,,,
1642647,0,,,,,,
987468,0,,,,,,
1642943,0,,,,,,
1380808,0,,,,,,
1380810,0,,,,,,
1380832,0,,,,,,
1511956,0,,,,,,
1497177,0,,,,,,
1628250,0,,,,,,
1511966,0,,,,,,
1511970,0,,,,,,
1511977,0,,,,,,
1511981,0,,,,,,
1628253,0,,,,,,
1628254,0,,,,,,
1249928,0,,,,,,
1512147,0,,,,,,
1512148,0,,,,,,
1512149,0,,,,,,
1643519,0,,,,,,
1643522,0,,,,,,
1643529,0,,,,,,
1643530,0,,,,,,
1643531,0,,,,,,
1643535,0,,,,,,
1643539,0,,,,,,
1643541,0,,,,,,
1643543,0,,,,,,
1643546,0,,,,,,
1512544,0,,,,,,
1512636,0,,,,,,
1643745,0,,,,,,
1643747,0,,,,,,
1512693,0,,,,,,
1512696,0,,,,,,
1381714,0,,,,,,
988520,0,,,,,,
988580,0,,,,,,
1644020,0,,,,,,
1644022,0,,,,,,
1644023,0,,,,,,
1644024,0,,,,,,
1644025,0,,,,,,
1644027,0,,,,,,
1644028,0,,,,,,
1381902,0,,,,,,
1381970,0,,,,,,
1513077,0,,,,,,
1513079,0,,,,,,
1513081,0,,,,,,
1513088,0,,,,,,
1644175,0,,,,,,
1644188,0,,,,,,
1382082,0,,,,,,
1382096,0,,,,,,
1644299,0,,,,,,
1644301,0,,,,,,
1382231,0,,,,,,
1382300,0,,,,,,
1382302,0,,,,,,
1644514,0,,,,,,
